entity1,entity2
DDX10,MOV10
GAR1,SHQ1
HNRNPH3,VPS4A
FYN,RHOA
MRPL11,MRPL35
FASTKD2,PTCD1
MRPL16,MRPS21
CD209,ICAM3
DNMT3B,H2BC21
DKC1,ZNF22
EP400,MYC
DDX39B,SNW1
ELAC2,GTPBP6
AGO1,DHX9
DLGAP4,GRM5
CUL1,MTIF2
BRIX1,PAK1IP1
HP1BP3,RIOX1
BRIX1,RPL35
NUFIP1,SNAP25
CDKN1C,RBL1
MT-ND2,NDUFA11
G3BP2,RPF2
FLII,LRRFIP1
AKT1,FANCI
CORO2A,GSN
HNRNPK,SART1
MED31,POLR2K
CCDC137,SRP68
FYN,HLA-E
G3BP2,TUFM
CXCL8,NFKB1
LARP7,PURA
ALDOA,PGAM4
MRPL34,MRPS26
ARGLU1,LUC7L3
CDK8,MED21
DHX15,THOC3
LARP7,RRP15
CPSF3,CPSF4
MLLT3,MLLT6
CDC73,LEO1
CUL7,MRPL9
HNRNPK,HNRNPL
DDX47,LTV1
MFAP1,WBP4
LYAR,RPS3A
CACNA2D4,CACNB3
OGT,SP1
CDC20,CDCA3
HNRNPU,RPS18
BRIX1,RPL22
MRPS28,MRPS9
GTF3C2,SUB1
LARP7,SERBP1
NDUFA8,UQCRC1
ARHGDIA,GNPNAT1
DDX39B,DHX8
CEBPZ,GTPBP4
BCAS2,IGF2BP3
MCM2,MCMBP
FANCA,FANCI
DDX47,MYEF2
ALS2,DNAAF2
ADH5,AKR1A1
MAU2,PDS5A
EIF1AX,EIF3K
ACTG1,PPP1R9B
DHX16,LSM3
CHTF18,RFC3
CANX,G3BP2
CLSPN,MCM7
CCDC77,CEP350
JUP,PTK2
ACTA2,MYH9
GDF15,TGFBR2
AATF,DKC1
ERG,LYL1
ARHGDIA,PCBP3
GPM6B,NUFIP1
NOP14,WDR43
MYBL1,MYBL2
AATF,LARP1
ACO2,IDH1
LSM7,SMNDC1
LIG1,UNG
GPI,PGAM2
EIF3J,RPS20
MFAP1,SMU1
CWF19L2,ISY1
DLGAP5,KIF4A
ARRB2,OPRM1
GDI1,MADD
CENPK,NUP93
MLST8,PRKAB1
CCT3,PDCL3
CPSF3,CSTF3
BOLA2B,GLRX3
CCNB2,WAPL
AATF,RPS15A
DDX17,NCL
CDC20,CEP55
CEBPZ,DDX31
CAPZB,DCTN4
CSNK1A1,TP53
NKRF,NSA2
NDUFA11,NDUFS5
GIT2,PXN
NSUN2,RPS15
HNRNPU,UTP20
DIMT1,HADHA
HNRNPM,RPLP1
HNRNPM,MYBBP1A
CCNE1,E2F4
MRPL15,MRPL37
LSM7,PRPF4B
GRWD1,RPS15
DHX16,SRSF11
MRPL28,MRPL3
GNAI2,GNAI3
FANCC,FANCM
ATF1,PPP2R5C
ACTB,ACTN1
BSG,C3orf33
MRPL15,MRPS31
DAPK3,LIMA1
MRPL48,MRPL52
EMG1,WDR46
C7orf50,HP1BP3
CFAP97,FZR1
LARP7,ZNF622
CYFIP1,PFN2
DDX27,DKC1
NDUFA10,NDUFC2
FN1,SPARC
CD74,CTSS
CCT3,TXNDC9
GTF2E2,TAF10
KIF20A,RACGAP1
KRI1,ZCRB1
ACTG1,NFASC
ABT1,DDX49
ACTL6A,ACTR5
GRWD1,HNRNPU
CFDP1,GPATCH2
CLN3,CLN6
NDUFA8,UQCR10
ARF6,GRB2
KCNE2,KCNE3
MRPL33,MRPS25
BMP7,HYAL2
GRAP2,TRAV19
KPNA3,ZNF521
CENPK,CENPT
MRPL9,MRPS28
MRPL12,MRPL34
NDUFA11,NDUFB1
JUP,TCF7L1
FOXK2,OGT
CPEB1,FMR1
MRPS22,STAU1
C8orf33,EBNA1BP2
HNRNPM,WDR83
NACA,RPL13
GNAI3,HTR2A
EIF3L,RPS25
FZR1,PENK
CAPZA2,KIAA1671
DLG4,DLGAP4
ELMO2,KDR
NMD3,RSL24D1
EPB41,GYPC
NXT1,RGPD6
ACTR5,MCRS1
AFDN,NECTIN2
EEF2,EEF2K
MRPL34,MRPS25
MPHOSPH10,MRPS22
DPF2,MBD3
CDKN1B,IMPDH2
CCT4,PPP2R2C
KAT2A,SUPT7L
ACTL6A,MORF4L2
AGO1,HSD17B10
CDKN1B,RBL1
GAR1,NOL6
CHEK1,TP53
CDC5L,MCM2
CENPC,ITGB3BP
EIF2S1,RPL3L
EIF2S3,RPS3A
ASF1A,CHAF1B
NIFK,SURF6
FKBP5,HSPA1A
ACTB,MYL12A
MRPS15,MRPS22
FZD5,LRP6
HNRNPM,RPL18
HNRNPU,ILF3
BCAS2,PPM1D
GNA13,PAG1
DDX17,MAGOH
BASP1,LRRFIP1
BUD13,DDX10
NUFIP1,SNCB
LYAR,RPS23
EEF2,YBX3
AP2M1,MYO6
DIMT1,RPLP1
LYAR,RPLP1
EIF2S1,SRP14
NDUFA4,NDUFA8
MED26,MED28
NUMA1,TUBA4A
NACA,RPL32
DHX16,PRPF40A
GZF1,NKRF
KAT2A,SOD2
H3-5,KDM4A
ALDOC,ISYNA1
MAN1A1,MGAT1
NDUFA6,NDUFA9
AATF,IMP4
DDX31,NIFK
HNRNPK,SNRNP40
FANCI,UBE2T
CCNE2,CDKN1B
DKC1,LARP1
CTNNB1,LEO1
GTF3C5,GTF3C6
CBX3,SUV39H1
CENPV,RIOX1
CBX3,WDR11
ABT1,DDX18
AQR,ZNF830
AQR,DNAJC8
HNRNPU,SNU13
HP1BP3,WDR36
ABT1,NOP2
FASTKD2,MRPS18A
BAG3,DNMT3B
DHX15,SNRNP48
CCT2,CCT3
GTPBP6,MRPL27
CCDC122,LAMTOR3
LSM5,MFAP1
COMMD7,COMMD8
BRIX1,LARP1B
ALDOA,TALDO1
GGA3,RABEP1
EEF2,TOP1
NDUFS6,TMUB1
CEBPZ,YTHDC2
AQR,TXNL4A
MRPL28,MRPS34
