entity1,entity2
DDX10,MOV10
CCDC92,PSMD1
DYM,KIF14
AAAS,SMPD4
ATP6V0D1,CNST
MAK16,ZC3HAV1
BRCA2,BRCC3
MRPL11,MRPL35
LATS2,NPHP4
AP3M1,BLOC1S6
CYB5A,CYB5R4
CDK1,NINL
CD47,SKAP2
IRF1,SOCS1
CENPE,SEPTIN7
HADHA,MCCC2
HDAC6,IFT88
HDAC2,SOX10
CNTFR,IL27RA
ETFA,MPST
CIAO1,CIAO2A
APOO,CHCHD3
NOL12,RBM28
CUL1,MTIF2
ATXN2L,SF1
CBL,CSF1R
FGF7,IRX1
EXOSC7,MPHOSPH6
DAPK1,GTPBP2
HMBS,VPS4A
AAAS,SEC13
KAT8,MSL2
GOLM1,SLC25A52
FOXO3,GALT
IPMK,IPPK
BTF3,NACA2
IMP4,LARP1B
IFNAR2,JAK2
GLRX2,GPX4
CCDC59,SRP72
BTF3,RPS16
GCH1,NFYB
CDK2,HIRA
ANAPC13,ANAPC16
MAK16,ZNF689
NDUFA9,NDUFS7
HNRNPA2B1,SRSF3
ATOX1,MDH2
MPG,RPS27A
MAPT,PRKAA2
EBF1,ZNF423
ACLY,FASN
IGF2BP3,RPL10A
APLF,APTX
EXOC3L2,EXOC4
CALR,EIF1AX
FADD,TICAM2
NOL6,NPM1
CTPS1,CTPS2
MRPL32,MRPL58
ESR1,SRC
MLLT3,MLLT6
HBEGF,HRAS
CDK9,INPP5K
NOL12,PUM3
ANAPC1,UBE2C
EXOC1,EXOC6B
CDC37,CHUK
HNRNPK,HNRNPL
ARF1,ARFIP2
APH1B,PSEN2
BMS1,ZC3HAV1
ARID2,DPF1
IRAK1,UBE2N
GLI2,SMO
CUL4A,DCAF1
GAPVD1,GDI1
GZF1,RSBN1
KRR1,NOL6
CIAO2B,CIAO3
ATF2,MAPK1
NAP1L4,RPL7
GLUD2,IDH2
INF2,SVIL
MRPS18C,MRPS36
MRE11,XRCC6
CDC20,CDCA3
CNOT2,CNOT6
CHID1,PRCP
MRPS28,MRPS9
GDI1,HPS4
LARP1B,NGDN
HECW2,NEDD4L
BRCA2,TP73
NSMCE2,NSMCE4A
BTF3,HSP90AA1
CBL,LTK
KDM1A,RREB1
BCAS2,IGF2BP3
FANCA,FANCI
FAU,MTIF2
ADH5,AKR1A1
EGFR,HRAS
CCNE2,MYCT1
CEBPA,FTO
MAP3K5,PPP5C
AADAT,AFMID
MYBBP1A,RPL7
CD63,ITGA4
HSPD1,SF3A2
BCL6,ETV6
CASP8,TRIM25
MRPL30,MRPS9
HDAC1,SAP18
CDX1,VIL1
BMS1,ZNF689
CCDC57,TRIOBP
ACO2,IDH1
ERCC8,RBX1
GATAD1,PALB2
DLGAP5,KIF4A
GDI1,MADD
MPRIP,MYH1
BMS1,ZNF512
IGF2BP3,RPL6
IL12RB1,ISOC2
CWF19L1,SETD3
ATP6V1A,TCIRG1
IKBKB,TRAF6
BABAM1,BRCC3
MRPS24,MRPS30
HEY2,NCOR2
NCBP1,SRSF2
EXOSC7,PNPT1
ITCH,NEDD4L
BTN2A2,CNNM2
CCDC59,GNL3L
DIMT1,HADHA
BRPF1,TP53
GSTO1,PGM2
GTF2F1,KAT2B
EXOSC3,EXOSC4
MRPL13,MRPS34
HNRNPM,MYBBP1A
ESYT1,ESYT3
CCNE1,E2F4
CERS4,SPHK2
DCLRE1C,NBN
MPHOSPH10,POP1
DIS3L,EXOSC10
AKAP2,IQGAP1
AHCYL1,BHMT
IL18,MYD88
GSR,UBE2F
EFNB1,ITSN1
BSG,C3orf33
IKBKB,PRKCQ
ETF1,UPF1
FBXO9,SKP1
CRBN,DCAF15
MRPL15,MRPS31
ELL2,ICE1
APOO,MTX1
CERS4,DEGS2
ATP6AP2,ATP6V1A
NDFIP2,NEDD4
FLCN,FNIP2
ACP1,CELF1
IKBKB,SKP1
ATG5,GABARAPL1
CCDC86,MYBBP1A
ANAPC16,UBE2S
MRPL46,MRPS18C
ATRX,RAD54B
ARSB,IDUA
HK1,RAB8A
BMS1,FYTTD1
BYSL,KRR1
ATP6V0A1,ATP6V0C
IGF2BP3,LARP1
DDX1,HNRNPUL1
ALDH2,AOC2
CLN3,CLN6
AHSA1,FKBP4
BCL11A,GATAD2A
MPHOSPH10,PABPC4
HCLS1,SYK
GALNT18,MAN2A1
CASP2,PIDD1
MPHOSPH10,NOP56
MKRN1,SRSF9
CENPK,CENPT
MPG,RPLP2
GZF1,RRP9
HBG1,HOXB6
NIP7,YTHDF3
IQGAP1,ZDHHC5
IFNAR2,STAT2
BMS1,CHERP
BUD13,SF3B5
NDUFA11,NDUFB1
AKT1S1,AKT2
ISG15,OAS2
CPEB1,FMR1
FYTTD1,GTPBP4
IFT52,IFT74
MOV10,MYEF2
LARP1B,MRTO4
NSMCE1,NSMCE2
CBSL,HIBCH
ABCF3,CSE1L
CCNB1,CENPF
CSF2RB,JAK2
EPB41,GYPC
BCL11B,BRD9
AURKB,NDC80
HMGCR,HMGCS1
BMS1,MRPS26
BAZ1B,NAP1L4
ACO2,IDH3B
MOV10,U2AF1
IPO7,PSIP1
MPHOSPH10,MRPS22
EXOC4,EXOC6B
NCK2,SRC
LACTB,MRPL4
CREBBP,NCOA1
ARHGEF18,ARRB1
GAR1,NOL6
NLRP2,PYCARD
NOC3L,ZCCHC9
BTF3,EIF1AX
FCER1A,GATA1
NUP58,NUP62
GBA2,MSMP
EXOC7,RHOQ
NAP1L1,RPL10A
ALYREF,IGF2BP3
IRF3,PIN1
ADGRB1,BAIAP2
GBE1,PKM
CCDC59,SMARCA5
MAK16,RPL7A
FZD5,LRP6
IRF3,TRIM25
CYP51A1,ESYT1
MTOR,PRR5L
AKAP10,GAB2
BUD13,DDX10
MCAT,YARS2
NCOA1,SRA1
HSPH1,STIP1
NEIL1,NEIL3
EPPIN,LTF
CTSD,LAMP1
C12orf43,ZNF771
HNRNPA2B1,PPWD1
GLO1,PRDX6
DLG1,LIN7B
HTT,L3MBTL3
GZF1,NKRF
HRAS,JUN
CFL1,HCLS1
GNB4,GNGT1
MTREX,PRPF19
NIP7,PRDM15
NDUFA6,NDUFA9
ARF1,GGA1
FANCA,FANCB
HDDC3,MRPS6
CCDC124,NOL6
NOC3L,SDAD1
JAK1,STAT1
CCDC124,DDX50
CCDC59,SKIV2L
CCNE2,CDKN1B
ISG15,UBE2L6
GTF3C5,GTF3C6
EIF1B,FAU
